date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:31:11	55838/55838	U--MC-	200	updated ('OK')	text/html	date:Fri,%2026%20Feb%202016%2010:31:06%20GMT	http://global.ahnlab.com/site/support/notice/noticeView.do?pressSeq=11559	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/site/support/notice/noticeView0345.html	(from http://global.ahnlab.com/site/search/searchResultAll.do)
17:31:11	55748/55748	U--MC-	200	updated ('OK')	text/html	date:Fri,%2026%20Feb%202016%2010:31:06%20GMT	http://global.ahnlab.com/site/support/notice/noticeView.do?pressSeq=11560	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/site/support/notice/noticeViewc75b.html	(from http://global.ahnlab.com/site/search/searchResultAll.do)
17:31:12	54147/54147	U--MC-	200	updated ('OK')	text/html	date:Fri,%2026%20Feb%202016%2010:31:08%20GMT	http://global.ahnlab.com/site/support/notice/noticeView.do?pressSeq=11558	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/site/support/notice/noticeView975d.html	(from http://global.ahnlab.com/site/search/searchResultAll.do)
17:31:12	48975/48975	U--MC-	200	updated ('OK')	text/html	date:Fri,%2026%20Feb%202016%2010:31:09%20GMT	http://global.ahnlab.com/site/support/virusfaq/virusFaqView.do	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/site/support/virusfaq/virusFaqView.html	(from http://global.ahnlab.com/site/search/searchResultAll.do)
17:31:13	162/162	---M--	302	error ('Found')	text/html	date:Fri,%2026%20Feb%202016%2010:31:17%20GMT	https://www.ahnlab.com/kr/site/mypage/mypageMain.do	E:/projects/other/ahnlab/html/ahnlab/www.ahnlab.com/kr/site/mypage/mypageMain.37.delayed	(from http://www.ahnlab.com/kr/site/main.do)
17:31:16	282766/282766	U-----	200	untouched ('OK')	application/x-javascript	etag:%22E2PE4ukgUQP%22	http://www.ahnlab.com/js/lib/jquery/jquery-1.11.1.js	E:/projects/other/ahnlab/html/ahnlab/www.ahnlab.com/js/lib/jquery/jquery-1.11.1.js	(from http://www.ahnlab.com/kr/site/main.do)
17:31:17	45047/45047	U-----	200	untouched ('OK')	application/x-javascript	etag:%22GnpiDW96BAs%22	http://www.ahnlab.com/js/lib/jquery/jquery.ui.js	E:/projects/other/ahnlab/html/ahnlab/www.ahnlab.com/js/lib/jquery/jquery.ui.js	(from http://www.ahnlab.com/kr/site/main.do)
17:31:18	216025/216025	U--M--	200	updated ('OK')	text/css	etag:%2281/TFi+KN1Y%22	http://www.ahnlab.com/css/ahnlab.css	E:/projects/other/ahnlab/html/ahnlab/www.ahnlab.com/css/ahnlab.css	(from http://www.ahnlab.com/kr/site/main.do)
17:31:19	31325/31325	U-----	200	untouched ('OK')	application/x-javascript	etag:%22/elvIfpkcyW%22	http://www.ahnlab.com/js/common.js	E:/projects/other/ahnlab/html/ahnlab/www.ahnlab.com/js/common.js	(from http://www.ahnlab.com/kr/site/main.do)
17:31:19	49030/49030	U--MC-	200	updated ('OK')	text/html	date:Fri,%2026%20Feb%202016%2010:31:14%20GMT	http://global.ahnlab.com/site/support/productfaq/productFaqView.do	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/site/support/productfaq/productFaqView.html	(from http://global.ahnlab.com/site/search/searchResultAll.do)
